cost,phylo_dist,shannon,consval,grass_spec_frac,grass_weight_frac,nspecs
500.2639501,328126.2408,16.89411526,50.78782998,0.121621622,0.711263349,37
692.859,543916.7533,17.34413654,52.812,0.170212766,0.7077,47
643.1247517,376784.4971,20.08288476,53.31713251,0.1125,0.576852975,40
1032.182554,396398.7542,18.9390737,60.72310045,0.166666667,0.649566549,39
400.5989387,127298.1098,14.02499986,51.68883114,0.152173913,0.699930009,23
377.0119672,102127.4356,11.01207455,46.01492999,0.142857143,0.700276102,21
518.4978741,205014.8808,14.60765315,47.38240462,0.1,0.642613462,30
683.4521449,328964.8721,17.75419506,47.14535901,0.078947368,0.599670342,38
930.245039,371064.7347,19.32130326,46.21167881,0.1125,0.492805007,40
665.660836,312534.8017,13.80978745,48.34813495,0.067567568,0.56608505,37
517.472,260234.7578,11.52522115,63.774,0.109375,0.7914,32
446.0511863,214336.8076,10.27536259,56.37590737,0.048387097,0.666242202,31
429.2191711,103065.5153,10.01465454,55.11506381,0.119047619,0.770977794,21
424.2578462,261994.6949,13.18735377,57.46249242,0.121212121,0.803160635,33
346.066,102199.3165,6.991408387,50.806,0.071428571,0.7884,21
1601.729963,392356.9822,20.86277712,47.31493739,0.109756098,0.420527442,41
557.8314325,72275.33857,12.83729916,40.29894023,0.166666667,0.506898621,18
1087.575269,216970.8521,18.0354783,41.46443933,0.096774194,0.413023907,31
1319.899638,284778.6702,20.87565356,51.68506627,0.114285714,0.441087916,35
850.9450661,724486.4647,14.88336724,53.69888098,0.081818182,0.717802645,55
1020.421867,1616556.973,18.84606466,54.26110877,0.053571429,0.683448853,84
1103.344344,360417.8881,22.47395482,57.20920921,0.08974359,0.196796797,39
248.2736525,47870.94104,6.264148172,45.15603121,0.25,0.958591719,14
286.5424381,230455.8732,11.31299786,49.74952412,0.183333333,0.894399356,30
562.6649746,121553.8776,9.196756461,68.41116751,0.136363636,0.76142132,22
540.875,162288.4397,14.38021539,57.125,0.134615385,0.75,26
819.3,144952.897,12.87904403,48.5,0.208333333,0.75,24
1239.55,178792.1545,16.66732232,63.765,0.071428571,0.5,28
617.0432679,167361.7185,15.05343493,52.04326924,0.153846154,0.769230773,26
1634.561038,247744.1324,15.6003176,58.53279516,0.096774194,0.453582241,31
1455.936147,200787.328,17.57988369,67.1850136,0.089285714,0.461980058,28
1096.619213,690613.9921,29.20834771,53.09942832,0.0625,0.437619101,56
1149.240327,556668.0464,27.41886947,64.32366906,0.081632653,0.504798464,49
1255.809691,519219.3736,23.36235976,60.27024229,0.097826087,0.522986125,46
681.4758498,425883.2321,14.72767397,57.62023799,0.119047619,0.709929009,42
926.7910835,414578.6507,11.85581087,54.60670697,0.12195122,0.710081019,41
551.5453084,148925.4908,14.40027659,46.96939386,0.14,0.569913983,25
692.0242179,662417.9265,25.3320563,51.89313586,0.182692308,0.714128475,52
575.5232355,414701.5592,15.49052807,52.72763616,0.104651163,0.736131935,43
945.3715544,161932.0465,8.500445162,56.89418416,0.12,0.701534734,25
342.2815433,100267.9956,9.291356049,53.99320138,0.095238095,0.718456307,21
576.4237517,532255.9939,17.76013396,54.66278016,0.0625,0.658257113,48
426.7281324,307650.032,11.80282249,48.99334944,0.114285714,0.738915761,35
1028.246294,523130.9429,19.52597374,47.22589035,0.163043478,0.62745098,46
936.181613,138081.7129,10.55002245,64.41044107,0.06,0.599159918,25
763.2719845,132260.409,10.95744197,64.1882564,0.0625,0.599279783,24
865.7735525,147283.5595,14.2944381,55.84388179,0.1,0.601868597,25
735.8209029,204005.3601,15.14497547,52.85842917,0.064516129,0.599399703,31
1178.149258,137003.1209,15.67988862,61.05842335,0.1,0.500100041,25
889.5696217,172255.5607,13.2820197,54.96202528,0.134615385,0.511392405,26
733.4837049,208336.1532,17.6574831,53.20802006,0.155172414,0.501253133,29
572.1105528,88369.81947,13.31012952,50.05025126,0.157894737,0.502512563,19
2322.763819,218544.1299,19.15753146,49.94974874,0.116666667,0.497487437,30
784.9444444,194953.4646,16.32550694,64,0.071428571,0.5,28
660.1090033,154485.3653,18.55263409,56.35438091,0.12,0.514191692,25
993.1672587,123210.0068,16.38063146,49.73589438,0.086956522,0.500200082,23
1034.131974,92540.0312,12.63540869,63.16843953,0.078947368,0.515852527,19
297.1025774,82929.01765,10.2212333,47.34953011,0.157894737,0.823135374,19
909.9949696,655557.1591,20.58264324,53.87106499,0.090909091,0.670521976,55
622.4405227,253591.7329,15.09086944,46.32320597,0.085714286,0.699580257,35
750.8414102,305752.8848,12.34310868,55.84243521,0.094594595,0.73553803,37
830.6636808,256972.1312,15.83751267,46.25787113,0.132352941,0.699650172,34
429.8080561,291687.8879,13.59501481,56.9119264,0.114285714,0.799060282,35
693.3143343,291172.3506,9.709498286,69.71414298,0.088235294,0.796301854,34
543.1726908,325326.1624,14.67573583,60.78313253,0.138888889,0.803212851,36
669.5018104,317918.3659,10.30580128,65.91803938,0.114285714,0.805042186,35
318.9202135,134635.1791,10.91507528,54.80903823,0.125,0.785342933,24